Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
1,10,RBFS,Manhattan Distance,2,3,32
2,10,RBFS,MD + Linear Conflict Correction,4,5,13
3,10,RBFS,Inversion Distance,4,5,21
4,10,RBFS,Manhattan Distance,8,9,30
5,10,RBFS,MD + Linear Conflict Correction,8,9,23
6,10,RBFS,Inversion Distance,2,3,10
7,10,RBFS,Manhattan Distance,6,7,17
8,10,RBFS,MD + Linear Conflict Correction,8,9,27
9,10,RBFS,Inversion Distance,2,3,12
10,10,RBFS,Manhattan Distance,4,5,10
11,10,RBFS,MD + Linear Conflict Correction,4,5,11
12,10,RBFS,Inversion Distance,2,3,11
13,10,RBFS,Manhattan Distance,6,7,15
14,10,RBFS,MD + Linear Conflict Correction,6,7,21
15,10,RBFS,Inversion Distance,6,7,28
16,10,RBFS,Manhattan Distance,2,3,6
17,10,RBFS,MD + Linear Conflict Correction,4,5,12
18,10,RBFS,Inversion Distance,6,7,44
19,10,RBFS,Manhattan Distance,4,5,45
20,10,RBFS,MD + Linear Conflict Correction,10,12,37
21,10,RBFS,Inversion Distance,2,3,9
22,10,RBFS,Manhattan Distance,2,3,5
23,10,RBFS,MD + Linear Conflict Correction,4,5,8
24,10,RBFS,Inversion Distance,2,3,9
25,10,RBFS,Manhattan Distance,0,1,1
26,10,RBFS,MD + Linear Conflict Correction,8,14,28
27,10,RBFS,Inversion Distance,4,5,17
28,10,RBFS,Manhattan Distance,6,7,11
29,10,RBFS,MD + Linear Conflict Correction,0,1,1
30,10,RBFS,Inversion Distance,6,7,27
31,10,RBFS,Manhattan Distance,6,7,14
32,10,RBFS,MD + Linear Conflict Correction,6,7,13
33,10,RBFS,Inversion Distance,8,9,32
34,10,RBFS,Manhattan Distance,2,3,4
35,10,RBFS,MD + Linear Conflict Correction,4,5,7
36,10,RBFS,Inversion Distance,4,5,17
37,10,RBFS,Manhattan Distance,6,7,9
38,10,RBFS,MD + Linear Conflict Correction,6,7,12
39,10,RBFS,Inversion Distance,8,9,34
40,10,RBFS,Manhattan Distance,4,5,9
41,10,RBFS,MD + Linear Conflict Correction,8,12,23
42,10,RBFS,Inversion Distance,0,1,3
43,10,RBFS,Manhattan Distance,8,9,19
44,10,RBFS,MD + Linear Conflict Correction,2,3,25
45,10,RBFS,Inversion Distance,0,1,2
46,10,RBFS,Manhattan Distance,8,9,17
47,10,RBFS,MD + Linear Conflict Correction,8,16,35
48,10,RBFS,Inversion Distance,8,9,35
49,10,RBFS,Manhattan Distance,2,3,4
50,10,RBFS,MD + Linear Conflict Correction,4,5,9
51,10,RBFS,Inversion Distance,8,9,33
52,10,RBFS,Manhattan Distance,0,1,1
53,10,RBFS,MD + Linear Conflict Correction,6,7,12
54,10,RBFS,Inversion Distance,8,9,34
55,10,RBFS,Manhattan Distance,2,3,4
56,10,RBFS,MD + Linear Conflict Correction,0,1,1
57,10,RBFS,Inversion Distance,6,7,23
58,10,RBFS,Manhattan Distance,4,5,8
59,10,RBFS,MD + Linear Conflict Correction,4,7,11
60,10,RBFS,Inversion Distance,2,3,9
61,10,RBFS,Manhattan Distance,4,5,10
