Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
125,10,RBFS,MD + Linear Conflict Correction,4,5,7
126,10,RBFS,Inversion Distance,6,7,24
127,10,RBFS,Manhattan Distance,4,5,6
128,10,RBFS,MD + Linear Conflict Correction,4,5,7
129,10,RBFS,Inversion Distance,4,5,14
130,10,RBFS,Manhattan Distance,6,7,7
131,10,RBFS,MD + Linear Conflict Correction,8,9,17
132,10,RBFS,Inversion Distance,4,5,15
133,10,RBFS,Manhattan Distance,4,5,7
134,10,RBFS,MD + Linear Conflict Correction,6,7,11
135,10,RBFS,Inversion Distance,6,7,20
136,10,RBFS,Manhattan Distance,4,5,6
137,10,RBFS,MD + Linear Conflict Correction,10,14,18
138,10,RBFS,Inversion Distance,8,9,27
139,10,RBFS,Manhattan Distance,6,7,8
140,10,RBFS,MD + Linear Conflict Correction,6,7,8
141,10,RBFS,Inversion Distance,4,5,15
142,10,RBFS,Manhattan Distance,4,5,6
143,10,RBFS,MD + Linear Conflict Correction,4,7,8
144,10,RBFS,Inversion Distance,4,5,16
145,10,RBFS,Manhattan Distance,6,7,8
146,10,RBFS,MD + Linear Conflict Correction,4,5,6
147,10,RBFS,Inversion Distance,4,5,15
148,10,RBFS,Manhattan Distance,2,3,3
149,10,RBFS,MD + Linear Conflict Correction,0,1,1
150,10,RBFS,Inversion Distance,6,7,21
151,10,RBFS,Manhattan Distance,6,7,8
152,10,RBFS,MD + Linear Conflict Correction,6,7,8
153,10,RBFS,Inversion Distance,8,9,28
154,10,RBFS,Manhattan Distance,2,3,3
155,10,RBFS,MD + Linear Conflict Correction,6,10,13
156,10,RBFS,Inversion Distance,6,7,21
157,10,RBFS,Manhattan Distance,4,5,5
158,10,RBFS,MD + Linear Conflict Correction,6,10,13
159,10,RBFS,Inversion Distance,6,7,21
160,10,RBFS,Manhattan Distance,4,5,6
161,10,RBFS,MD + Linear Conflict Correction,6,10,13
162,10,RBFS,Inversion Distance,2,3,8
163,10,RBFS,Manhattan Distance,2,3,3
164,10,RBFS,MD + Linear Conflict Correction,4,5,7
165,10,RBFS,Inversion Distance,4,5,16
166,10,RBFS,Manhattan Distance,4,5,6
167,10,RBFS,MD + Linear Conflict Correction,4,5,6
168,10,RBFS,Inversion Distance,4,5,15
169,10,RBFS,Manhattan Distance,6,7,7
170,10,RBFS,MD + Linear Conflict Correction,0,1,1
171,10,RBFS,Inversion Distance,6,7,22
172,10,RBFS,Manhattan Distance,4,5,5
173,10,RBFS,MD + Linear Conflict Correction,6,7,8
174,10,RBFS,Inversion Distance,4,5,16
175,10,RBFS,Manhattan Distance,2,3,2
176,10,RBFS,MD + Linear Conflict Correction,2,3,3
177,10,RBFS,Inversion Distance,8,9,27
178,10,RBFS,Manhattan Distance,0,1,1
179,10,RBFS,MD + Linear Conflict Correction,4,7,8
180,10,RBFS,Inversion Distance,2,3,9
181,10,RBFS,Manhattan Distance,4,5,6
182,10,RBFS,MD + Linear Conflict Correction,4,5,5
183,10,RBFS,Inversion Distance,6,7,18
184,10,RBFS,Manhattan Distance,2,3,2
185,10,RBFS,MD + Linear Conflict Correction,2,3,3
186,10,RBFS,Inversion Distance,2,3,7
187,10,RBFS,Manhattan Distance,2,3,2
188,10,RBFS,MD + Linear Conflict Correction,4,8,11
189,10,RBFS,Inversion Distance,0,1,1
190,10,RBFS,Manhattan Distance,6,7,7
191,10,RBFS,MD + Linear Conflict Correction,8,25,35
192,10,RBFS,Inversion Distance,2,3,9
193,10,RBFS,Manhattan Distance,0,1,1
194,10,RBFS,MD + Linear Conflict Correction,4,5,7
195,10,RBFS,Inversion Distance,2,3,9
