Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
125,10,RBFS,MD + Linear Conflict Correction,4,5,6
126,10,RBFS,Inversion Distance,8,9,30
127,10,RBFS,Manhattan Distance,8,9,12
128,10,RBFS,MD + Linear Conflict Correction,0,1,1
129,10,RBFS,Inversion Distance,4,5,16
130,10,RBFS,Manhattan Distance,4,5,5
131,10,RBFS,MD + Linear Conflict Correction,4,7,9
132,10,RBFS,Inversion Distance,4,5,14
133,10,RBFS,Manhattan Distance,6,7,8
134,10,RBFS,MD + Linear Conflict Correction,8,13,18
135,10,RBFS,Inversion Distance,2,3,9
136,10,RBFS,Manhattan Distance,8,9,11
137,10,RBFS,MD + Linear Conflict Correction,8,9,11
138,10,RBFS,Inversion Distance,4,5,14
139,10,RBFS,Manhattan Distance,6,7,8
140,10,RBFS,MD + Linear Conflict Correction,2,3,3
141,10,RBFS,Inversion Distance,2,3,8
142,10,RBFS,Manhattan Distance,6,7,8
143,10,RBFS,MD + Linear Conflict Correction,6,7,10
144,10,RBFS,Inversion Distance,6,7,21
145,10,RBFS,Manhattan Distance,4,5,6
146,10,RBFS,MD + Linear Conflict Correction,6,7,9
147,10,RBFS,Inversion Distance,6,7,20
148,10,RBFS,Manhattan Distance,6,7,8
149,10,RBFS,MD + Linear Conflict Correction,6,7,7
150,10,RBFS,Inversion Distance,8,9,28
151,10,RBFS,Manhattan Distance,4,5,5
152,10,RBFS,MD + Linear Conflict Correction,2,3,3
153,10,RBFS,Inversion Distance,6,7,19
154,10,RBFS,Manhattan Distance,4,5,5
155,10,RBFS,MD + Linear Conflict Correction,4,5,6
156,10,RBFS,Inversion Distance,2,3,8
157,10,RBFS,Manhattan Distance,10,15,19
158,10,RBFS,MD + Linear Conflict Correction,6,7,9
159,10,RBFS,Inversion Distance,2,3,8
160,10,RBFS,Manhattan Distance,4,5,6
161,10,RBFS,MD + Linear Conflict Correction,0,1,1
162,10,RBFS,Inversion Distance,2,3,9
163,10,RBFS,Manhattan Distance,6,7,9
164,10,RBFS,MD + Linear Conflict Correction,4,5,6
165,10,RBFS,Inversion Distance,4,5,16
166,10,RBFS,Manhattan Distance,2,3,2
167,10,RBFS,MD + Linear Conflict Correction,6,7,8
168,10,RBFS,Inversion Distance,6,7,20
169,10,RBFS,Manhattan Distance,4,5,5
170,10,RBFS,MD + Linear Conflict Correction,6,9,11
171,10,RBFS,Inversion Distance,0,1,1
172,10,RBFS,Manhattan Distance,2,3,3
173,10,RBFS,MD + Linear Conflict Correction,4,5,5
174,10,RBFS,Inversion Distance,8,9,28
175,10,RBFS,Manhattan Distance,6,7,8
176,10,RBFS,MD + Linear Conflict Correction,2,3,4
177,10,RBFS,Inversion Distance,8,9,25
178,10,RBFS,Manhattan Distance,2,3,3
179,10,RBFS,MD + Linear Conflict Correction,2,3,3
180,10,RBFS,Inversion Distance,4,5,24
181,10,RBFS,Manhattan Distance,4,5,8
182,10,RBFS,MD + Linear Conflict Correction,4,5,7
183,10,RBFS,Inversion Distance,6,7,20
184,10,RBFS,Manhattan Distance,6,7,8
185,10,RBFS,MD + Linear Conflict Correction,6,8,10
186,10,RBFS,Inversion Distance,4,5,15
187,10,RBFS,Manhattan Distance,6,7,9
188,10,RBFS,MD + Linear Conflict Correction,2,3,3
189,10,RBFS,Inversion Distance,6,7,20
190,10,RBFS,Manhattan Distance,2,3,2
191,10,RBFS,MD + Linear Conflict Correction,8,10,16
192,10,RBFS,Inversion Distance,8,9,31
193,10,RBFS,Manhattan Distance,6,9,10
194,10,RBFS,MD + Linear Conflict Correction,2,3,3
195,10,RBFS,Inversion Distance,2,3,7
196,10,RBFS,Manhattan Distance,8,9,11
197,10,RBFS,MD + Linear Conflict Correction,4,5,6
198,10,RBFS,Inversion Distance,8,9,27
199,10,RBFS,Manhattan Distance,4,5,7
200,10,RBFS,MD + Linear Conflict Correction,6,13,19
201,10,RBFS,Inversion Distance,4,5,15
202,10,RBFS,Manhattan Distance,4,5,6
203,10,RBFS,MD + Linear Conflict Correction,2,3,3
204,10,RBFS,Inversion Distance,6,7,23
205,10,RBFS,Manhattan Distance,6,7,8
206,10,RBFS,MD + Linear Conflict Correction,4,5,5
207,10,RBFS,Inversion Distance,4,5,14
208,10,RBFS,Manhattan Distance,2,3,2
209,10,RBFS,MD + Linear Conflict Correction,4,5,6
210,10,RBFS,Inversion Distance,8,9,67
211,10,RBFS,Manhattan Distance,4,5,5
212,10,RBFS,MD + Linear Conflict Correction,8,11,14
213,10,RBFS,Inversion Distance,6,7,22
214,10,RBFS,Manhattan Distance,8,9,10
215,10,RBFS,MD + Linear Conflict Correction,6,7,8
216,10,RBFS,Inversion Distance,4,5,14
217,10,RBFS,Manhattan Distance,8,9,13
218,10,RBFS,MD + Linear Conflict Correction,0,1,1
219,10,RBFS,Inversion Distance,8,9,51
220,10,RBFS,Manhattan Distance,2,3,4
221,10,RBFS,MD + Linear Conflict Correction,2,3,3
222,10,RBFS,Inversion Distance,6,7,20
223,10,RBFS,Manhattan Distance,6,7,8
224,10,RBFS,MD + Linear Conflict Correction,6,12,16
225,10,RBFS,Inversion Distance,6,7,19
226,10,RBFS,Manhattan Distance,2,3,2
227,10,RBFS,MD + Linear Conflict Correction,6,11,15
228,10,RBFS,Inversion Distance,4,5,15
229,10,RBFS,Manhattan Distance,8,9,10
230,10,RBFS,MD + Linear Conflict Correction,6,8,11
231,10,RBFS,Inversion Distance,2,3,8
232,10,RBFS,Manhattan Distance,6,7,8
233,10,RBFS,MD + Linear Conflict Correction,8,9,13
234,10,RBFS,Inversion Distance,8,9,30
235,10,RBFS,Manhattan Distance,4,5,6
236,10,RBFS,MD + Linear Conflict Correction,2,3,3
237,10,RBFS,Inversion Distance,8,13,42
238,10,RBFS,Manhattan Distance,4,5,6
239,10,RBFS,MD + Linear Conflict Correction,8,9,12
240,10,RBFS,Inversion Distance,10,11,242
241,10,RBFS,Manhattan Distance,4,5,7
242,10,RBFS,MD + Linear Conflict Correction,0,1,1
243,10,RBFS,Inversion Distance,4,5,41
244,10,RBFS,Manhattan Distance,2,3,4
245,10,RBFS,MD + Linear Conflict Correction,6,7,8
246,10,RBFS,Inversion Distance,4,5,16
247,10,RBFS,Manhattan Distance,6,7,9
248,10,RBFS,MD + Linear Conflict Correction,6,9,12
249,10,RBFS,Inversion Distance,4,5,16
250,10,RBFS,Manhattan Distance,4,5,6
251,10,RBFS,MD + Linear Conflict Correction,4,5,6
252,10,RBFS,Inversion Distance,6,7,23
253,10,RBFS,Manhattan Distance,8,9,11
254,10,RBFS,MD + Linear Conflict Correction,6,12,16
255,10,RBFS,Inversion Distance,4,5,14
256,10,RBFS,Manhattan Distance,4,5,5
257,10,RBFS,MD + Linear Conflict Correction,4,5,7
258,10,RBFS,Inversion Distance,4,5,15
259,10,RBFS,Manhattan Distance,8,9,11
260,10,RBFS,MD + Linear Conflict Correction,4,7,8
261,10,RBFS,Inversion Distance,8,9,25
262,10,RBFS,Manhattan Distance,4,5,7
263,10,RBFS,MD + Linear Conflict Correction,4,5,6
264,10,RBFS,Inversion Distance,4,5,14
265,10,RBFS,Manhattan Distance,2,3,2
266,10,RBFS,MD + Linear Conflict Correction,6,7,9
267,10,RBFS,Inversion Distance,0,1,2
268,10,RBFS,Manhattan Distance,10,11,13
269,10,RBFS,MD + Linear Conflict Correction,10,18,50
270,10,RBFS,Inversion Distance,2,3,64
271,10,RBFS,Manhattan Distance,10,23,30
272,10,RBFS,MD + Linear Conflict Correction,2,3,4
273,10,RBFS,Inversion Distance,6,7,19
274,10,RBFS,Manhattan Distance,6,7,11
275,10,RBFS,MD + Linear Conflict Correction,4,5,8
276,10,RBFS,Inversion Distance,6,7,22
277,10,RBFS,Manhattan Distance,6,7,8
278,10,RBFS,MD + Linear Conflict Correction,6,7,9
279,10,RBFS,Inversion Distance,6,7,22
280,10,RBFS,Manhattan Distance,2,3,2
281,10,RBFS,MD + Linear Conflict Correction,4,5,7
282,10,RBFS,Inversion Distance,4,5,16
283,10,RBFS,Manhattan Distance,8,9,13
284,10,RBFS,MD + Linear Conflict Correction,4,5,5
285,10,RBFS,Inversion Distance,6,7,21
286,10,RBFS,Manhattan Distance,4,5,6
287,10,RBFS,MD + Linear Conflict Correction,4,5,73
288,10,RBFS,Inversion Distance,4,5,16
289,10,RBFS,Manhattan Distance,8,9,12
290,10,RBFS,MD + Linear Conflict Correction,2,3,4
291,10,RBFS,Inversion Distance,8,9,26
292,10,RBFS,Manhattan Distance,2,3,3
293,10,RBFS,MD + Linear Conflict Correction,6,10,13
294,10,RBFS,Inversion Distance,4,5,13
295,10,RBFS,Manhattan Distance,4,5,6
296,10,RBFS,MD + Linear Conflict Correction,6,7,10
297,10,RBFS,Inversion Distance,10,11,33
298,10,RBFS,Manhattan Distance,8,9,11
299,10,RBFS,MD + Linear Conflict Correction,4,5,6
300,10,RBFS,Inversion Distance,8,9,26
301,10,RBFS,Manhattan Distance,6,7,9
302,10,RBFS,MD + Linear Conflict Correction,0,1,1
303,10,RBFS,Inversion Distance,6,7,18
304,10,RBFS,Manhattan Distance,0,1,1
305,10,RBFS,MD + Linear Conflict Correction,8,12,17
306,10,RBFS,Inversion Distance,4,5,15
307,10,RBFS,Manhattan Distance,0,1,1
308,10,RBFS,MD + Linear Conflict Correction,4,9,12
309,10,RBFS,Inversion Distance,10,11,33
310,10,RBFS,Manhattan Distance,2,3,2
311,10,RBFS,MD + Linear Conflict Correction,6,13,18
312,10,RBFS,Inversion Distance,6,9,30
313,10,RBFS,Manhattan Distance,10,11,13
314,10,RBFS,MD + Linear Conflict Correction,4,5,8
315,10,RBFS,Inversion Distance,4,5,14
316,10,RBFS,Manhattan Distance,6,7,8
317,10,RBFS,MD + Linear Conflict Correction,2,3,3
318,10,RBFS,Inversion Distance,6,7,19
319,10,RBFS,Manhattan Distance,6,7,8
320,10,RBFS,MD + Linear Conflict Correction,6,8,9
321,10,RBFS,Inversion Distance,6,7,20
322,10,RBFS,Manhattan Distance,2,3,2
323,10,RBFS,MD + Linear Conflict Correction,4,5,7
324,10,RBFS,Inversion Distance,8,9,28
325,10,RBFS,Manhattan Distance,6,7,8
326,10,RBFS,MD + Linear Conflict Correction,2,3,3
327,10,RBFS,Inversion Distance,0,1,1
328,10,RBFS,Manhattan Distance,6,7,8
329,10,RBFS,MD + Linear Conflict Correction,8,9,12
330,10,RBFS,Inversion Distance,4,5,16
331,10,RBFS,Manhattan Distance,0,1,1
332,10,RBFS,MD + Linear Conflict Correction,6,12,16
333,10,RBFS,Inversion Distance,6,7,20
334,10,RBFS,Manhattan Distance,4,5,5
335,10,RBFS,MD + Linear Conflict Correction,6,7,8
336,10,RBFS,Inversion Distance,6,7,20
337,10,RBFS,Manhattan Distance,6,7,7
338,10,RBFS,MD + Linear Conflict Correction,6,12,16
339,10,RBFS,Inversion Distance,2,3,8
340,10,RBFS,Manhattan Distance,6,7,8
341,10,RBFS,MD + Linear Conflict Correction,4,5,5
342,10,RBFS,Inversion Distance,6,7,21
343,10,RBFS,Manhattan Distance,6,7,8
344,10,RBFS,MD + Linear Conflict Correction,2,3,3
345,10,RBFS,Inversion Distance,6,7,20
346,10,RBFS,Manhattan Distance,10,11,13
347,10,RBFS,MD + Linear Conflict Correction,6,7,10
348,10,RBFS,Inversion Distance,2,3,8
349,10,RBFS,Manhattan Distance,6,7,8
350,10,RBFS,MD + Linear Conflict Correction,6,15,20
351,10,RBFS,Inversion Distance,4,5,15
352,10,RBFS,Manhattan Distance,8,13,16
353,10,RBFS,MD + Linear Conflict Correction,8,9,11
354,10,RBFS,Inversion Distance,4,5,15
355,10,RBFS,Manhattan Distance,0,1,1
356,10,RBFS,MD + Linear Conflict Correction,4,5,7
357,10,RBFS,Inversion Distance,6,7,21
358,10,RBFS,Manhattan Distance,2,3,3
359,10,RBFS,MD + Linear Conflict Correction,6,7,8
360,10,RBFS,Inversion Distance,0,1,1
361,10,RBFS,Manhattan Distance,6,7,8
